αs,params,chi2/dof,ratios_list
0.11731,[ 3.08185 -0.88262 -0.38087],1.947366925015121,"{'μS_ratio': 1.5310230949071373, 'μJ_ratio': 1.561487094921262, 'νS_ratio': 0.7846591111438703, 'νJ_ratio': 0.7396487504999372, 'μH_ratio': 1.087280546689307, 'bmax_ratio': 0.6874795287919725}"
0.11625,[ 3.00726 -0.33801 -0.14112],2.0885107325739627,"{'μS_ratio': 0.9418598572447303, 'μJ_ratio': 0.5505162874147723, 'νS_ratio': 1.217307433772437, 'νJ_ratio': 1.7817361719518316, 'μH_ratio': 0.9203027353408246, 'bmax_ratio': 1.1768028710991698}"
0.11514,[ 3.07468 -0.84574 -0.36342],1.9495753865517866,"{'μS_ratio': 1.1659817243373767, 'μJ_ratio': 0.9525156269372319, 'νS_ratio': 0.5847610185171848, 'νJ_ratio': 0.8294977861043497, 'μH_ratio': 1.2504025967020054, 'bmax_ratio': 1.0035597331609192}"
0.1128,[ 3.06873 -0.91761 -0.46552],1.947706987574025,"{'μS_ratio': 0.9696493498869084, 'μJ_ratio': 1.9280843765524565, 'νS_ratio': 1.6531361141001852, 'νJ_ratio': 1.8818396219137274, 'μH_ratio': 1.6836259964960272, 'bmax_ratio': 0.9201151288459012}"
0.11291,[ 3.06854 -0.77937 -0.28906],1.9311076248150019,"{'μS_ratio': 0.5581348543948914, 'μJ_ratio': 0.7309482301100275, 'νS_ratio': 0.6524798909559353, 'νJ_ratio': 1.275101783640125, 'μH_ratio': 0.5679953408156649, 'bmax_ratio': 1.2700219213406712}"
0.11251,[ 3.06833 -0.96169 -0.4788 ],1.9508462805735702,"{'μS_ratio': 0.9880310485854319, 'μJ_ratio': 1.7118827164776094, 'νS_ratio': 0.6436942912200765, 'νJ_ratio': 0.8533774922942787, 'μH_ratio': 1.3583896069738186, 'bmax_ratio': 1.0550201116090117}"
0.11218,[ 3.06239 -0.97885 -0.50005],1.9531301458857615,"{'μS_ratio': 0.9947331221003987, 'μJ_ratio': 1.961144582314565, 'νS_ratio': 0.5277291100210104, 'νJ_ratio': 1.0339692240721767, 'μH_ratio': 1.1817972988196463, 'bmax_ratio': 1.258834214045411}"
0.11414,[ 3.0794  -0.84716 -0.32273],1.95418927965161,"{'μS_ratio': 0.9953684221845077, 'μJ_ratio': 0.793978840974514, 'νS_ratio': 0.7271213074820781, 'νJ_ratio': 0.5210730332300939, 'μH_ratio': 0.7712985754230107, 'bmax_ratio': 1.0170635941343376}"
0.11332,[ 3.07625 -0.82214 -0.32628],1.9511921508787018,"{'μS_ratio': 0.6043673740493469, 'μJ_ratio': 0.8810165838797822, 'νS_ratio': 1.1140852886755734, 'νJ_ratio': 1.8461353243560916, 'μH_ratio': 1.0487668466865383, 'bmax_ratio': 1.2898008262855538}"
0.11403,[ 3.07062 -0.73634 -0.25159],1.9412312136676964,"{'μS_ratio': 0.9542155279198097, 'μJ_ratio': 0.6108218552819135, 'νS_ratio': 1.4134106896222711, 'νJ_ratio': 0.7586246565390343, 'μH_ratio': 0.5467885518653869, 'bmax_ratio': 0.8701381922520861}"
